Suburb,Address,Price,Bedrooms,Bathrooms,Parkings
strathfield,52/23-25 Churchill Avenue STRATHFIELD NSW 2135,,3,2,2
strathfield,4/129 -131 Parramatta Road STRATHFIELD NSW 2135,865000,2,2,2
strathfield,3.07/235 HOMEBUSH Road STRATHFIELD NSW 2135,865000,2,2,1
strathfield,2.07/235 HOMEBUSH Road STRATHFIELD NSW 2135,860000,2,2,1
strathfield,21/42 Swan  Avenue STRATHFIELD NSW 2135,,3,2,2
strathfield,STRATHFIELD NSW 2135,,2,1,1
strathfield,9-13 Parnell street STRATHFIELD NSW 2135,,1,1,1
strathfield,508/9-13 Parnell Street STRATHFIELD NSW 2135,760000,1,1,1
strathfield,809/9-13 Parnell Street STRATHFIELD NSW 2135,,1,1,1
strathfield,50 Rickard Road STRATHFIELD NSW 2135,703000,2,2,1
strathfield,2.9/9-13 Parnell  Street STRATHFIELD NSW 2135,675000,1,1,1
strathfield,1.03/235 HOMEBUSH Road STRATHFIELD NSW 2135,699000,2,2,1
strathfield,85/1 Beresford Road STRATHFIELD NSW 2135,,2,2,2
strathfield,2.04/235 HOMEBUSH Road STRATHFIELD NSW 2135,695000,1,1,1
strathfield,Unit 4  20 Fitzgerald Crescent STRATHFIELD NSW 2135,,2,2,2
strathfield,214/39 Cooper Street STRATHFIELD NSW 2135,,2,2,1
strathfield,SOHO05/235 HOMEBUSH Road STRATHFIELD NSW 2135,650000,1,1,1
strathfield,109/549 Liverpool Road STRATHFIELD NSW 2135,,2,2,1
strathfield,4.05/235 HOMEBUSH Road STRATHFIELD NSW 2135,599000,1,1,1
strathfield,30/1-4 The Crescent STRATHFIELD NSW 2135,595000,1,1,1
strathfield,STRATHFIELD NSW 2135,570000,1,1,1
strathfield,50 Rickard Road STRATHFIELD NSW 2135,553000,1,1,1
strathfield,84/5-7 BERESFORD ROAD STRATHFIELD NSW 2135,530000,1,1,1
strathfield,48/26 Cotswold Road STRATHFIELD NSW 2135,340000,1,1,
